name,author,no. Of pages,Year,genre
wings of fire,apj abdul kalam,180,1999,autobiography
two states,chetan bhagat,269,2009,"Fiction, Love"
The 3 Mistakes of My Life,chetan bhagat,258,2005,Fiction
half girlfriend,chetan bhagat,260,2015,romance
The Merchant of Venice,William Shakespeare,175,1605,comedy
Hamlet,William Shakespeare,152,1603,tragedy
the da vinci code,dan brown,454,2003,mystery-detective
Swami and Friends,RK Narayan,180,1935,novel
A Tale of Two Cities,Charles Dickens,412,1859,Historical drama
Angels & Demons,dan brown,500,2005,mystery-detective
The God of Small Things,Arundhati Roy,300,1997,Fiction
Malgudi Days,RK Narayan,150,1943,Fiction
cinderella,Charles Perrault,100,1697,Fairy tale
mother teresa,Desmond Doig,175,1976,
Gandhi the Man,Eknath Easwaran,200,1973,Politicians
Target 3 Billion,A. P. J. Abdul Kalam,298,2011,
can love happens twice,Ravinder Singh,224,2011,lovestory
David Copperfield,Charles Dickens,200,1850,Novel 
Harry Potter Series,J. K. Rowling,314,2002,Fantasy
Programming JavaScript Applications,Eric Elliott,254,2009,
Wise Enough to be Foolish,Gauri Jayaram,205,2006,Fiction
Fifty Shades of Grey Trilogy,E. L. James,198,2011,Erotic  
Turn Around India,R. P. GuptaÊ,459,2011,Fiction
Numerical Enigma,Ankit Parashar,190,2015,Sci-fy
Five Point Someone,Chetan Bhagat,270,2004,Fiction
Go Kiss the World: Life Lessons for the Young Professional,Subroto Bagchi,239,2008,lovestory
Tintin,Herg_,214,1976,Action/adventure
Hardy Boys,Franklin W. Dixon,180,1927,Children literature
The Famous Five,Enid Blyton,165,1942,"Mystery,Adventure,Children's literature"
Secret Seven,Enid Blyton,190,1963,"Mystery,Children's literature"
One night at the call centre,Chetan Bhagat,267,2005,Fiction
The Alchemist,Paulo Coelho,163,1988,"Quest,Drama,Fantasy"
I Too Had a Love Story,Ravinder Singh,112,2008,Novel
Anything for you Ma'm,Tushar Raheja,256,1998,Comedy
Romeo and Juliet,William Shakespeare,283,2004,Tragedy
Catch Me if You Can ,"Stan Redding,ÊFrank Abagnale",253,1980,"Comedy,Drama,Crime Fiction"
Being An Entrepreneur's Wife,Shweta Chowdhary,67,2003,Lovestory
A Brief History of Time,Stephen Hawking,256,1988,"Cosmology, Popular science"
The Art of War,Sun Tzu,100,1805,"Economics, Fiction, Treatise"
Digital Fortress,ÊDan Brown,156,1998,Techno-thriller
"20,000 Leagues Under The Sea",Jules Verne,426,1870,"Science Fiction, Adventure fiction"
Catcher In The Rye,J. D. Salinger,214,2005,"Literary realism, Coming-of-age story"
Physics of the Future,Michio Kaku,416,2006,Popular science
Freakonomics,"Stephen J. Dubner,ÊSteven Levitt",336,2012,Non-Fiction
TinyAVR Evil Genius,"Dhananjay Gadre,ÊNehul Malhotra",256,1994,Fiction
Twenty Thousand Leagues Under the Sea,ÊJules Verne,320,1870,"Science Fiction, Adventure fiction"
,dan brown,400,1998,Techno-thriller
rd sharma,rd sharma ,720,2007,maths
"1,000 Places to See Before You Die",patricia schultz,523,2003,travel
the mahabharata,ved vyas,1200,0,religious
The Namesake,jhumpa lahiri,291,2004,fiction
Rendezvous with Rama,arthut c clark,420,1999,Science Fiction
Outliers,Malcolm GladwellÊ,180,2008,non fiction
Connect the dots,rashmi bansal,220,2012,non fiction
Lance Armstrong Its Not About the Bike,lance armstrong,240,2000,autobiography
Harry Potter and the Philosopher's Stone,jk rowling,223,1997,Fantasy
The Adventures of Tom Sawyer,mark twain,323,1876,novel
KryptonITe - The I.T Quiz Book, Raveesh Mayya K.,278,2012,gk
Wise Enough to Be Foolish,Gauri Jayaram,210,2015,Fiction
Percy Jackson,rick riordan,405,2005,Fantasy
A Thousand Splendid Suns,Khaled Hosseini,384,2007,Fiction
"Mud, Sweat and Tears by bear grylls",bear grylls,543,2011,autobiography
Twenty thousands leagues under the sea,Julr Verna,394,2008,Science
A Tale of Two Cities,Charles Dickens,554,1859,Historical Novel
The Road ,Cormac McCarthy,257,1997,Fiction
Harry Potter and the Goblet of Fire,J. K. Rowling,752,2005,Fantasy
Beloved,Toni Morrison,321,2003,Literature
The Liars' Club,Mary Karr,250,1965,Memoir
American Pastoral,Philip Roth,423,2000,Fiction
Mystic River,Dennis Lehane,350,2001,Novel
Maus,Art Spiegelman,452,1993,Biography
Selected Stories,Alice Munro,524,1996,Anthology
Cold Mountain,Charles Frazier,688,1995,Historical Novel
The Wind-Up Bird Chronicle,Haruki Murakami,607,2004,Fiction
Into Thin Air,Jon Krakauer,368,2001,Non-Fiction
Blindness,Jos_ Saramago,352,2003,Novel
Watchmen,Alan Moore ,416,1990,Fiction
Black Water,Joyce Carol Oates,464,2000,Politics
A Heartbreaking Work of Staggering Genius,Dave Eggers,375,2000,Memoir
The Handmaid's Tale,Margaret Atwood,560,1985,Fiction
Love in the Time of Cholera,Gabriel Garc’a M‡rquez,368,2002,Literature
Rabbit at Rest,John Updike,608,1995,Fiction
On Beauty,Zadie Smith,245,2005,Novel
Bridget Jones's Diary,Helen Fielding,288,1998,Fiction
On Writing,Stephen King,291,1885,Biography
The Brief Wondrous Life of Oscar Wao,Junot D’az,368,1978,Literature
The Ghost Road,Pat Barker,288,1994,Fiction
Lonesome Dove,Larry McMurtry,864,2001,Literature
The Joy Luck Club,Amy Tan,288,2014,Fiction
Neuromancer,William Gibson,271,2006,Fantasy
Possession,A.S. Byatt,576,1995,Literature
Naked,David Sedaris,291,2006,Memoir
Bel Canto,Anne Patchett,352,1992,Literature
Case Histories,Kate Atkinson,336,1983,Fiction
The Things They Carried,Tim O'Brien,246,2007,Literature
Parting the Waters,Taylor Branch,1088,2004,Biography
The Year of Magical Thinking,Joan Didion,277,1993,Biography
The Lovely Bones,Alice Sebold,400,2005,Literature
The Line of Beauty,Alan Hollinghurst,400,2002,Literature
Angela's Ashes,Frank McCourt,368,1992,History
Persepolis,Marjane Satrapi,160,1996,Biography
Birds of America,Lorrie Moore,304,2004,Anthology
Interpreter of Maladies,Jhumpa Lahiri,198,1856,Literature
His Dark Materials,Philip Pullman,560,1956,Fantasy
The House on Mango Street,Sandra Cisneros,144,2003,Literature
LaBrava,Elmore Leonard,416,2014,Action
Borrowed Time,Paul Monette,352,2015,Non-Fiction
Praying for Sheetrock,Melissa Fay Greene,368,1899,Fantasy
Eva Luna,Isabel Allende,320,2006,Fiction
Sandman,Neil Gaiman,416,2007,Fantasy
World's Fair,E.L. Doctorow,204,1993,Historical Novel
The Poisonwood Bible,Barbara Kingsolver,576,1992,Fiction
Clockers,Richard Price,611,2009,Literature
The Corrections,Jonathan Franzen,576,2004,Fiction
The Journalist and the Murderer,Janet Malcom,176,2010,Journalism
Waiting to Exhale,Terry McMillan,544,1996,Romance
The Amazing Adventures of Kavalier & Clay,Michael Chabon,656,2000,Fiction
Jimmy Corrigan,Chris Ware,,,
The Glass Castle,Jeannette Walls,,,
The Night Manager,John le Carr,,,
The Bonfire of the Vanities,Tom Wolfe,,,
Drop City,TC Boyle,,,
Krik? Krak!,Edwidge Danticat,,,
Nickel & Dimed,Barbara Ehrenreich,,,
Money,Martin Amis,,,
Last Train To Memphis,Peter Guralnick,,,
Pastoralia,George Saunders,,,
Underworld,Don DeLillo,,,
The Giver,Lois Lowry,,,
A Supposedly Fun Thing IÕll Never Do Again,David Foster Wallace,,,
The Kite Runner,Khaled Hosseini,,,
Fun Home,Alison Bechdel,,,
Secret History,Donna Tartt,,,
Cloud Atlas,David Mitchell,,,
The Spirit Catches You and You Fall Down,Ann Fadiman,,,
The Curious Incident of the Dog in the Night-Time,Mark Haddon,,,
A Prayer for Owen Meany,John Irving,,,
Friday Night Lights,H.G. Bissinger,,,
Cathedral,Raymond Carver,,,
A Sight for Sore Eyes,Ruth Rendell,,,
The Remains of the Day,Kazuo Ishiguro,,,
"Eat, Pray, Love",Elizabeth Gilbert,,,
The Tipping Point,Malcolm Gladwell,,,
"Bright Lights, Big City",Jay McInerney,,,
Backlash,Susan Faludi,,,
Atonement,Ian McEwan,,,
The Stone Diaries,Carol Shields,,,
Holes,Louis Sachar,,,
Gilead,Marilynne Robinson,,,
And the Band Played On,Randy Shilts,,,
The Ruins,Scott Smith,,,
High Fidelity,Nick Hornby,,,
Close Range,Annie Proulx,,,
Comfort Me With Apples,Ruth Reichl,,,
Random Family,Adrian Nicole LeBlanc,,,
Presumed Innocent,Scott Turow,,,
A Thousand Acres,Jane Smiley,,,
Fast Food Nation,Eric Schlosser,,,
Kaaterskill Falls,Allegra Goodman,,,
The Da Vinci Code,Dan Brown,,,
JesusÕ Son,Denis Johnson,,,
The Predators' Ball,Connie Bruck,,,
Practical Magic,Alice Hoffman,,,